rd_wr,period,osc_set,count,div,period_delta,cycles,vgen,Fail Count,Instance,Lot Bin Wafer,Part Number,Temp,Date
0,6.000,26,3,0,0.007,1000,27,7,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,24,3,0,0.043,1000,27,5,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,23,2,0,0.015,1000,27,2,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.008,1000,27,8,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.021,1000,27,2,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,12,4,0,0.007,1000,27,4,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,12,4,0,0.015,1000,27,3,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,6,4,0,0.004,1000,27,3,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,2,6,0,0.014,1000,23,0,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,23,2,0,0.007,1000,23,0,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,11,4,0,0.038,1000,23,1,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.065,1000,23,0,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,19,3,0,0.081,1000,23,0,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,12,4,0,0.001,1000,23,1,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,6,4,0,0.000,1000,23,0,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,15,3,0,0.082,1000,23,1,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,20,3,0,0.001,1000,25,2,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,24,3,0,0.047,1000,25,3,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,9,5,0,0.057,1000,25,1,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,29,2,0,0.041,1000,25,3,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,29,2,0,0.017,1000,25,0,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.004,1000,25,2,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.014,1000,25,1,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.011,1000,25,3,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,17,4,0,0.007,2000,27,9,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,5,4,0,0.003,2000,27,8,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,5,4,0,0.027,2000,27,3,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,29,2,0,0.004,2000,27,9,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.027,2000,27,2,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,1,6,0,0.050,2000,27,5,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,25,3,0,0.023,2000,27,3,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.019,2000,27,4,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,7,4,0,0.003,2000,23,0,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,24,3,0,0.058,2000,23,0,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,0,6,0,0.017,2000,23,1,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,1,6,0,0.032,2000,23,0,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,15,3,0,0.069,2000,23,0,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,1,6,0,0.022,2000,23,1,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,1,6,0,0.023,2000,23,0,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.045,2000,23,1,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,30,2,0,0.003,2000,25,2,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.025,2000,25,3,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,27,2,0,0.060,2000,25,1,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,15,3,0,0.041,2000,25,4,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,29,2,0,0.060,2000,25,1,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.005,2000,25,2,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.001,2000,25,1,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.018,2000,25,3,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,10,5,0,0.001,5000,27,10,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,24,3,0,0.030,5000,27,10,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,24,3,0,0.001,5000,27,5,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.013,5000,27,9,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.006,5000,27,3,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,12,4,0,0.002,5000,27,5,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,29,2,0,0.071,5000,27,3,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,1,6,0,0.051,5000,27,5,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,10,5,0,0.023,5000,23,0,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,23,2,0,0.019,5000,23,0,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,11,4,0,0.010,5000,23,1,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,15,3,0,0.045,5000,23,0,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.021,5000,23,0,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,6,4,0,0.021,5000,23,1,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.001,5000,23,0,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.063,5000,23,1,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,17,4,0,0.010,5000,25,3,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,5,4,0,0.027,5000,25,4,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,0,6,0,0.021,5000,25,1,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.013,5000,25,5,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.032,5000,25,1,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.033,5000,25,3,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,12,4,0,0.011,5000,25,2,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,15,3,0,0.058,5000,25,3,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,4,5,0,0.004,10000,27,12,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,24,3,0,0.032,10000,27,14,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,15,3,0,0.054,10000,27,7,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.015,10000,27,10,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.019,10000,27,5,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,1,6,0,0.053,10000,27,8,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,6,4,0,0.066,10000,27,3,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.006,10000,27,5,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,10,5,0,0.028,10000,23,1,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,5,4,0,0.000,10000,23,0,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.015,10000,23,1,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,25,3,0,0.029,10000,23,0,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,1,6,0,0.041,10000,23,0,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.060,10000,23,1,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.012,10000,23,0,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.018,10000,23,1,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,10,5,0,0.005,10000,25,4,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,24,3,0,0.035,10000,25,4,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,11,4,0,0.023,10000,25,1,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.023,10000,25,5,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.001,10000,25,1,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,6,4,0,0.018,10000,25,5,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.028,10000,25,3,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.000,10000,25,3,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,20,3,0,0.024,20000,27,14,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.029,20000,27,17,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,27,2,0,0.063,20000,27,15,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,1,6,0,0.016,20000,27,23,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,10,5,0,0.047,20000,27,7,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.003,20000,27,9,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.047,20000,27,7,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,6,4,0,0.030,20000,27,5,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,2,6,0,0.000,20000,23,1,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,11,4,0,0.013,20000,23,0,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,0,6,0,0.020,20000,23,1,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.006,20000,23,1,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.002,20000,23,0,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,1,6,0,0.029,20000,23,1,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.003,20000,23,1,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.017,20000,23,1,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,17,4,0,0.010,20000,25,5,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.024,20000,25,7,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,0,6,0,0.008,20000,25,1,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,1,6,0,0.037,20000,25,5,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.022,20000,25,1,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.023,20000,25,8,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,15,3,0,0.052,20000,25,3,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,12,4,0,0.054,20000,25,4,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,30,2,0,0.004,50000,27,50,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,11,4,0,0.005,50000,27,26,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,23,2,0,0.029,50000,27,20,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,1,6,0,0.029,50000,27,32,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.019,50000,27,8,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.002,50000,27,39,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,1,6,0,0.008,50000,27,12,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,1,6,0,0.010,50000,27,11,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,4,5,0,0.003,50000,23,6,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.041,50000,23,2,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,24,3,0,0.044,50000,23,1,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,6,4,0,0.005,50000,23,2,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.001,50000,23,0,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,29,2,0,0.059,50000,23,2,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.057,50000,23,1,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.019,50000,23,1,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,12,4,0,0.001,50000,25,8,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,5,4,0,0.013,50000,25,7,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,24,3,0,0.022,50000,25,3,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.001,50000,25,8,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.002,50000,25,1,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.037,50000,25,12,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,6,4,0,0.008,50000,25,3,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,5,4,0,0.002,50000,25,4,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,0,7,0,0.036,100000,27,55,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,24,3,0,0.008,100000,27,41,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,23,2,0,0.037,100000,27,24,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.091,100000,27,47,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,25,3,0,0.043,100000,27,17,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,12,4,0,0.018,100000,27,59,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.036,100000,27,16,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.006,100000,27,14,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,7,4,0,0.019,100000,23,8,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.009,100000,23,2,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,27,2,0,0.034,100000,23,1,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.024,100000,23,3,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,25,3,0,0.021,100000,23,1,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.054,100000,23,6,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.042,100000,23,1,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,25,3,0,0.058,100000,23,3,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,17,4,0,0.015,100000,25,11,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,23,2,0,0.045,100000,25,12,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,0,6,0,0.010,100000,25,8,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.013,100000,25,13,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.000,100000,25,3,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.025,100000,25,14,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.006,100000,25,3,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,15,3,0,0.045,100000,25,5,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,0,7,0,0.010,200000,27,69,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.044,200000,27,59,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,11,4,0,0.044,200000,27,52,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,25,3,0,0.026,200000,27,78,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,10,5,0,0.041,200000,27,24,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,1,6,0,0.043,200000,27,72,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,25,3,0,0.022,200000,27,32,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,25,3,0,0.026,200000,27,20,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,0,7,0,0.017,200000,23,11,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,24,3,0,0.005,200000,23,3,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,11,4,0,0.008,200000,23,3,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.004,200000,23,5,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.047,200000,23,1,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,1,6,0,0.047,200000,23,12,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,25,3,0,0.058,200000,23,2,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.006,200000,23,3,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,20,3,0,0.009,200000,25,18,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,0,6,0,0.038,200000,25,22,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,11,4,0,0.057,200000,25,17,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.002,200000,25,31,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,12,4,0,0.037,200000,25,5,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,15,3,0,0.021,200000,25,16,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,15,3,0,0.035,200000,25,8,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,1,6,0,0.052,200000,25,5,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,12,4,0,0.006,500000,27,104,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,24,3,0,0.049,500000,27,92,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,27,2,0,0.009,500000,27,76,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.008,500000,27,108,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.043,500000,27,29,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.069,500000,27,134,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,12,4,0,0.014,500000,27,65,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,12,4,0,0.010,500000,27,35,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,4,5,0,0.001,500000,23,19,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.045,500000,23,6,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,5,4,0,0.035,500000,23,3,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,6,4,0,0.018,500000,23,10,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.008,500000,23,3,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.051,500000,23,22,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.047,500000,23,2,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,29,2,0,0.019,500000,23,5,7,P9HK27_0p_15,P0003,085C,220414
0,6.000,4,5,0,0.004,500000,25,31,0,P9HK27_0p_15,P0003,085C,220414
0,6.000,28,2,0,0.012,500000,25,28,1,P9HK27_0p_15,P0003,085C,220414
0,6.000,23,2,0,0.024,500000,25,22,2,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.014,500000,25,40,3,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.013,500000,25,6,4,P9HK27_0p_15,P0003,085C,220414
0,6.000,1,6,0,0.061,500000,25,25,5,P9HK27_0p_15,P0003,085C,220414
0,6.000,6,4,0,0.004,500000,25,19,6,P9HK27_0p_15,P0003,085C,220414
0,6.000,3,5,0,0.009,500000,25,14,7,P9HK27_0p_15,P0003,085C,220414
